SEQ,TIMESTAMP,BP10,BSize10,BP9,BSize9,BP8,BSize8,BP7,BSize7,BP6,BSize6,BP5,BSize5,BP4,BSize4,BP3,BSize3,BP2,BSize2,BP1,BSize1,AP1,ASize1,AP2,ASize2,AP3,ASize3,AP4,ASize4,AP5,ASize5,AP6,ASize6,AP7,ASize7,AP8,ASize8,AP9,ASize9,AP10,ASize10
1,2014-03-20 09:20:00.163,75.75,24000,75.8,50000,75.85,22400,75.9,56000,75.95,11600,76,199200,76.05,4400,76.1,16800,76.15,400,76.2,15200,76.25,24000,76.3,50400,76.35,30400,76.4,60000,76.45,42000,76.5,127200,76.55,10000,76.6,10000,76.65,10000,76.7,120000
2,2014-03-20 09:30:00.065,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,27200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
3,2014-03-20 09:30:00.104,*,*,75.8,70000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
4,2014-03-20 09:30:00.104,*,*,*,*,75.85,42400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5,2014-03-20 09:30:00.105,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.4,80000,*,*,*,*,*,*,*,*,*,*,*,*
6,2014-03-20 09:30:00.105,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.45,62000,*,*,*,*,*,*,*,*,*,*
7,2014-03-20 09:30:00.112,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,9600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
8,2014-03-20 09:30:00.123,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.3,66800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,2014-03-20 09:30:00.138,75.7,33200,75.75,24000,75.8,70000,75.85,42400,75.9,56000,75.95,11600,76,199200,76.05,4400,76.1,16800,76.15,400,76.25,27200,76.3,66800,76.35,30400,76.4,80000,76.45,62000,76.5,127200,76.55,10000,76.6,10000,76.65,10000,76.7,120000
10,2014-03-20 09:30:00.230,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.3,69200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
11,2014-03-20 09:30:00.299,75.75,24000,75.8,70000,75.85,42400,75.9,56000,75.95,11600,76,199200,76.05,4400,76.1,16800,76.15,400,76.2,400,76.25,27200,76.3,69200,76.35,30400,76.4,80000,76.45,62000,76.5,127200,76.55,10000,76.6,10000,76.65,10000,76.7,120000
12,2014-03-20 09:30:00.318,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,5200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
13,2014-03-20 09:30:00.324,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,5600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
14,2014-03-20 09:30:00.340,*,*,*,*,*,*,*,*,*,*,*,*,76.05,8400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
15,2014-03-20 09:30:00.345,*,*,*,*,*,*,*,*,*,*,76,209200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
16,2014-03-20 09:30:00.362,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,26400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
17,2014-03-20 09:30:00.440,*,*,*,*,*,*,*,*,75.95,12400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
18,2014-03-20 09:30:00.527,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,17200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
19,2014-03-20 09:30:00.771,75.7,33200,75.75,24000,75.8,70000,75.85,42400,75.9,56000,75.95,12400,76,209200,76.05,8400,76.1,17200,76.15,5600,76.2,400,76.25,26400,76.3,69200,76.35,30400,76.4,80000,76.45,62000,76.5,127200,76.55,10000,76.6,10000,76.65,10000
20,2014-03-20 09:30:00.779,75.7,33200,75.75,24000,75.8,70000,75.85,42400,75.9,56000,75.95,12400,76,209200,76.05,8400,76.1,17200,76.15,5600,76.25,26400,76.3,69200,76.35,30400,76.4,80000,76.45,62000,76.5,127200,76.55,10000,76.6,10000,76.65,10000,76.7,120000
21,2014-03-20 09:30:00.791,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,26000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
22,2014-03-20 09:30:00.850,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,25600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
23,2014-03-20 09:30:00.887,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.5,129600,*,*,*,*,*,*,*,*
24,2014-03-20 09:30:01.002,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.3,58000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
25,2014-03-20 09:30:01.013,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,17600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
26,2014-03-20 09:30:01.015,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,8800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
27,2014-03-20 09:30:01.030,*,*,*,*,*,*,*,*,75.9,56400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
28,2014-03-20 09:30:01.035,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,47600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
