Seq_No	Time	Transaction_Price	Volume	Bid_Price	Bid_Size	Ask_Price	Ask_Size
1	2014-03-21 09:20:00.054	*	*	75.95	5200	76.1	400
2	2014-03-21 09:30:00.083	76.1	400	*	*	*	*
3	2014-03-21 09:30:00.083	*	*	76.1	400	76.2	2400
4	2014-03-21 09:30:00.248	*	*	*	*	76.2	2800
5	2014-03-21 09:30:00.428	*	*	*	*	76.2	400
6	2014-03-21 09:30:00.711	76.1	400	*	*	*	*
7	2014-03-21 09:30:00.711	76.05	400	*	*	*	*
8	2014-03-21 09:30:00.711	*	*	76.05	19600	*	*
9	2014-03-21 09:30:00.728	76.05	2400	*	*	*	*
10	2014-03-21 09:30:00.728	*	*	76.05	17200	*	*
11	2014-03-21 09:30:01.422	*	*	76.05	18000	*	*
12	2014-03-21 09:30:01.758	*	*	*	*	76.2	800
13	2014-03-21 09:30:01.766	76.05	2400	*	*	*	*
14	2014-03-21 09:30:01.766	*	*	76.05	15600	*	*
15	2014-03-21 09:30:01.771	*	*	*	*	76.2	1200
16	2014-03-21 09:30:02.299	*	*	*	*	76.2	800
17	2014-03-21 09:30:03.281	76.2	400	*	*	*	*
18	2014-03-21 09:30:03.281	*	*	*	*	76.2	400
19	2014-03-21 09:30:03.418	*	*	*	*	76.2	1200
20	2014-03-21 09:30:03.422	76.05	400	*	*	*	*
21	2014-03-21 09:30:03.422	*	*	76.05	15200	*	*
22	2014-03-21 09:30:05.400	*	*	76.05	16400	*	*
23	2014-03-21 09:30:06.110	*	*	76.05	19600	*	*
24	2014-03-21 09:30:06.622	*	*	*	*	76.2	5200
25	2014-03-21 09:30:07.016	*	*	76.05	20800	*	*
26	2014-03-21 09:30:07.215	76.05	6000	*	*	*	*
27	2014-03-21 09:30:07.215	*	*	76.05	14800	*	*
28	2014-03-21 09:30:07.272	76.05	400	*	*	*	*
29	2014-03-21 09:30:07.272	*	*	76.05	14400	*	*
30	2014-03-21 09:30:07.315	76.05	800	*	*	*	*
31	2014-03-21 09:30:07.315	*	*	76.05	13600	*	*
32	2014-03-21 09:30:07.340	76.05	3200	*	*	*	*
33	2014-03-21 09:30:07.340	*	*	76.05	10400	*	*
34	2014-03-21 09:30:07.539	*	*	*	*	76.2	9600
35	2014-03-21 09:30:08.392	76.05	1200	*	*	*	*
36	2014-03-21 09:30:08.392	*	*	76.05	9200	*	*
37	2014-03-21 09:30:08.598	*	*	*	*	76.2	13600
38	2014-03-21 09:30:08.844	76.05	800	*	*	*	*
39	2014-03-21 09:30:08.844	*	*	76.05	8400	*	*
40	2014-03-21 09:30:08.953	*	*	*	*	76.15	400
41	2014-03-21 09:30:08.954	76.15	400	*	*	*	*
42	2014-03-21 09:30:08.954	*	*	*	*	76.2	13600
43	2014-03-21 09:30:08.955	*	*	76.05	5200	*	*
